bigram_word1,bigram_word2
Kyoto,protocol
air,pollution
air,quality
air,temperature
biomass,energy
carbon,dioxide
carbon,emission
carbon,energy
carbon,neutral
carbon,price
carbon,sink
carbon,tax
clean,air
clean,energy
clean,water
climate,change
coastal,area
costal,region
electric,vehicle
energy,climate
energy,conversion
energy,efficient
energy,environment
environmental,sustainability
exterme,weather
flue,gas
forest,land
gas,emission
ghg,emission
global,decarbonization
global,warm
greenhouse,gas
hanging,awning
heat,power
natural,hazard
new,energy
ozone,layer
renewable,energy
sea,level
sea,water
smile,continued
snow,ice
solar,energy
solar,thermal
sustainable,energy
water,resource
water,resources
wave,energy
weather,climate
wind,energy
wind,power
wind,resource
woven,tapestry
